activity	time	p	p_peak	p_smooth
Dancing	1475.0	4.970612556374004e-4	0.666778965451369	0.6935086192767126
Playing football	1475.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1475.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1475.0	0.0	0.0	0.0
Playing soccer	1475.0	0.0	0.0	0.0
Doing aerobics	1475.0	1.0266853816933121e-5	0.01678518107256822	0.011190120715045479
Hunting	1475.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1475.0	0.0	0.0	0.0
Bowling	1475.0	8.642626574233386e-5	0.07011136235838508	0.07007061054801023
Rollerblading	1475.0	0.0	0.0	0.0
Golfing	1475.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1475.0	0.0	0.0	0.0
Boating	1475.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1475.0	0.0	0.0	0.0
Running	1480.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1480.0	0.0	0.0	0.0
Weightlifting/strength training	1480.0	7.228436345397398e-6	0.004516797995312111	0.008908902563189212
Hiking	1480.0	0.0	0.0	0.0
Biking	1480.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1480.0	5.627932827113515e-5	0.01217235759171734	0.011915266898963321
Using cardiovascular equipment	1480.0	2.272747981697161e-5	0.017052653409656546	0.01830986565924626
Participating in water sports	1480.0	1.8771218776835163e-5	0.005859398817508208	0.005859398817508208
Playing basketball	1480.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1480.0	1.1328312154995513e-4	0.03258522086015178	0.03240864340311642
Skiing, ice skating, snowboarding	1480.0	0.0	0.0	0.0
Doing yoga	1480.0	0.0	0.0	0.0
Playing billiards	1480.0	2.6189599648699e-4	0.31947478361749276	0.3343888433604141
Fishing	1480.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1480.0	5.035250351381989e-4	0.6754497523203263	0.6778679786466766
Playing football	1480.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1480.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1480.0	0.0	0.0	0.0
Playing soccer	1480.0	0.0	0.0	0.0
Doing aerobics	1480.0	0.0	0.0	0.0055950603575227395
Hunting	1480.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1480.0	0.0	0.0	0.0
Bowling	1480.0	8.46067238908912e-5	0.0686352999949703	0.06912732078277523
Rollerblading	1480.0	0.0	0.0	0.0
Golfing	1480.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1480.0	0.0	0.0	0.0
Boating	1480.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1480.0	0.0	0.0	0.0
Running	1485.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1485.0	0.0	0.0	0.0
Weightlifting/strength training	1485.0	1.8021795486275808e-5	0.011261192024768427	0.00901306068161632
Hiking	1485.0	0.0	0.0	0.0
Biking	1485.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1485.0	5.2713324384722305e-5	0.011401085513455284	0.011188787822970185
Using cardiovascular equipment	1485.0	2.77542516644577e-5	0.02082429015842569	0.019567077908835977
Participating in water sports	1485.0	1.8771218776835163e-5	0.005859398817508208	0.005859398817508208
Playing basketball	1485.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1485.0	1.1328312154995513e-4	0.03258522086015178	0.029403781640458926
Skiing, ice skating, snowboarding	1485.0	0.0	0.0	0.0
Doing yoga	1485.0	0.0	0.0	0.0
Playing billiards	1485.0	3.0197109576306745e-4	0.36836053918997397	0.34441493201925777
Fishing	1485.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1485.0	5.153969334151082e-4	0.6913752181683345	0.6815958106855106
Playing football	1485.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1485.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1485.0	0.0	0.0	0.0
Playing soccer	1485.0	0.0	0.0	0.0
Doing aerobics	1485.0	0.0	0.0	0.0
Hunting	1485.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1485.0	0.0	0.0	0.0
Bowling	1485.0	8.46067238908912e-5	0.0686352999949703	0.07332976779183904
Rollerblading	1485.0	0.0	0.0	0.0
Golfing	1485.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1485.0	0.0	0.0	0.0
Boating	1485.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1485.0	0.0	0.0	0.0
Running	1490.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1490.0	0.0	0.0	0.0
Weightlifting/strength training	1490.0	1.8021795486275808e-5	0.011261192024768427	0.01087917236609886
Hiking	1490.0	0.0	0.0	0.0
Biking	1490.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1490.0	4.620262272945374e-5	0.009992920363737933	0.010386057067439457
Using cardiovascular equipment	1490.0	2.77542516644577e-5	0.02082429015842569	0.02082429015842569
Participating in water sports	1490.0	1.8771218776835163e-5	0.005859398817508208	0.005859398817508208
Playing basketball	1490.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1490.0	8.01021251060432e-5	0.02304090320107321	0.02622234242076607
Skiing, ice skating, snowboarding	1490.0	0.0	0.0	0.0
Doing yoga	1490.0	0.0	0.0	0.0
Playing billiards	1490.0	2.831564894375037e-4	0.3454094732503067	0.343483289752245
Fishing	1490.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1490.0	5.053981752316191e-4	0.6779624615678709	0.6824333804346921
Playing football	1490.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1490.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1490.0	0.0	0.0	0.0
Playing soccer	1490.0	0.0	0.0	0.0
Doing aerobics	1490.0	0.0	0.0	0.0
Hunting	1490.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1490.0	0.0	0.0	0.0
Bowling	1490.0	1.0196733311384763e-4	0.08271870338557653	0.07802423558870779
Rollerblading	1490.0	0.0	0.0	0.0
